Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Diagnóstico,Procurando iguais,,,Série,2021-08-07,7,Agosto,2021,Sábado,Documentário,2021-08-07,False
Diagnóstico,Sabedoria popular,,,Série,2021-08-07,7,Agosto,2021,Sábado,Documentário,2021-08-07,False
Diagnóstico,Segundas opiniões,,,Série,2021-08-07,7,Agosto,2021,Sábado,Documentário,2021-08-07,False
Explicando... Dinheiro,Minissérie,Enriqueça rápido,,Série,2021-08-07,7,Agosto,2021,Sábado,Documentário,2021-08-07,False
Diagnóstico,Trabalho de detetive,,,Série,2021-08-07,7,Agosto,2021,Sábado,Documentário,2021-08-07,False
A Indústria da Cura,Veneno do bem,,,Série,2021-08-01,1,Agosto,2021,Domingo,Documentário,2021-08-01,False
Explicando,Temporada 2,Diamantes,,Série,2021-08-01,1,Agosto,2021,Domingo,Documentário,2021-08-01,False
Explicando,Temporada 2,Beleza,,Série,2021-08-01,1,Agosto,2021,Domingo,Documentário,2021-08-01,False
Explicando,Temporada 2,O futuro da carne,,Série,2021-08-01,1,Agosto,2021,Domingo,Documentário,2021-08-01,False
Explicando,Temporada 2,A próxima pandemia,,Série,2021-08-01,1,Agosto,2021,Domingo,Documentário,2021-08-01,False
O Código Da Vinci,,,,Filme,2021-08-01,1,Agosto,2021,Domingo,Suspense,2021-08-01,False
Milagre na Cela 7,,,,Filme,2021-08-01,1,Agosto,2021,Domingo,Drama,2021-08-01,False
Bebês em Foco,Parte 2,Sentidos,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Bebês em Foco,Parte 2,Movimento,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Bebês em Foco,Parte 2,O que os bebês sabem,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Nosso Planeta,Temporada 1,Dos desertos aos campos,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Brinquedos que Marcam Época,Temporada 3,Tartarugas Ninja,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Nosso Planeta,Temporada 1,Mares costeiros,,Série,2021-07-31,31,Julho,2021,Sábado,Documentário,2021-07-31,False
Cobra Kai,Temporada 1,A competição,,Série,2021-07-26,26,Julho,2021,Segunda-feira,Ação,2021-07-26,False
Cobra Kai,Temporada 1,Alunos novos,,Série,2021-07-26,26,Julho,2021,Segunda-feira,Ação,2021-07-26,False
